Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMY
Superelement       Element    Element average value
R200                  27358     -3.82126
R200                  27359     -1.54273
R200                  27360     -1.21048
R200                  27361    -0.772898
R200                  27362    -0.260863
R200                  27363      2.05734
R200                  27364      1.47129
R200                  27365      1.92279
R200                  27366      3.32574
R200                  27367      7.68983
R200                  27368      7.90017
R200                  27369      7.55371
R200                  27370      5.68237
R200                  27371    -0.555515
R200                  27372    -0.142054
R200                  27373    0.0356709
R200                  27374    -0.619425
R200                  27375    0.0135183
R200                  27376    -0.793797
R200                  27377    -0.290659
R200                  27378    -0.109106
R200                  27379    -0.216001
R200                  27380    -0.903842
R200                  27381    -0.767212
R200                  27382    -0.290069
R200                  27383    -0.253621
R200                  27384    -0.638363
R200                  27385     -1.11335
R200                  27386    -0.782198
R200                  27387    -0.249563
R200                  27388   -0.0171019
R200                  27389    -0.272886
R200                  27390    -0.463574
R200                  27391   -0.0143025
R200                  27392     0.492512
R200                  27393     0.962904
R200                  27394   -0.0632658
R200                  27395     0.164406
R200                  27396     0.852211
R200                  27397      2.28325
R200                  27398     0.201384
R200                  27399     0.213164
R200                  27400     0.793441
R200                  27401      2.69331
R200                  27402    -0.234478
R200                  27403     0.187074
R200                  27404     0.420758
R200                  27405     0.762412
R200                  27406    0.0607484
R200                  27407     0.749135
R200                  27408     0.778225
R200                  27409    0.0968945
R200                  27410      1.33661
R200                  27411      1.52178
R200                  27412      1.75627
R200                  27413      1.24855
R200                  27414      2.15983
R200                  27415      1.71257
R200                  27416      2.11506
R200                  27417      2.53526
R200                  27418      2.03244
R200                  27419     0.870513
R200                  27420      1.18801
R200                  27421      3.27045
R200                  27422     0.373744
R200                  27423    -0.752922
R200                  27424    -0.684621
R200                  27425      1.45689
R200                  28478     -4.27336
R200                  28479      1.62395
R200                  28480      4.92823
R200                  28481      2.61329
R200                  28482      3.56567
R200                  28483      4.79929
R200                  28484      10.0511
R200                  28485      4.95054
R200                  28486      4.75902
R200                  28487      12.8797
R200                  28488       3.8772
R200                  28489      4.35201
R200                  28490      6.54077
R200                  28491    0.0863957
R200                  28492      2.56966
R200                  28493     -0.27107
R200                  28494     0.578249
R200                  28495      3.81346
R200                  28496      1.26547
R200                  28497      2.00129
R200                  28498      8.39715
R200                  28499    0.0595162
R200                  28500      1.16527
R200                  28501       6.6049
R200                  28502      5.00562
R200                  28503      8.41406
R200                  28504      18.5488
R200                  28505     0.318559
R200                  28506      1.36735
R200                  28507      4.78884
R200                  28508      9.69906
R200                  28509      12.5021
R200                  28510      17.5791
R200                  28511     -1.51255
R200                  28512     0.737737
R200                  28513      3.16784
R200                  28514      21.4098
R200                  28515      9.82427
R200                  28516      8.32168
R200                  28517     -4.33097
R200                  28518     -10.8634
R200                  28519     -14.3488
R200                  28520     -15.5207
R200                  28521     -16.8073
R200                  28522     -16.6875
R200                  28523     -16.6237
R200                  28524      -15.485
R200                  28525     -12.6982
R200                  28526     -5.05497
R200                  28743     -7.01425
R200                  28744     -16.0605
R200                  28745     -31.1561
R200                  28746      -26.954
R200                  28747     -21.9498
R200                  28748     -20.9304
R200                  28749     -19.8878
